state_name,race_grp,pop_12,date_80,state,state_code
Alabama,Asian,54881.52594,Reached 80%,AL,1
Alabama,Asian,,Reached 80%,AL,1
Alabama,Black,1059848.742,Nov. 2021,AL,1
Alabama,Black,,Nov. 2021,AL,1
Alabama,Hispanic,157801,Reached 80%,AL,1
Alabama,Hispanic,,Reached 80%,AL,1
Alabama,White,2732135.031,Dec. 2021,AL,1
Alabama,White,,Dec. 2021,AL,1
Alaska,Asian,36560.39301,Reached 80%,AK,2
Alaska,Asian,,Reached 80%,AK,2
Alaska,Black,14064.46427,Jan. 2022 or later,AK,2
Alaska,Black,,Jan. 2022 or later,AK,2
Alaska,Hispanic,37674,Jan. 2022 or later,AK,2
Alaska,Hispanic,,Jan. 2022 or later,AK,2
Alaska,White,362675.211,Jan. 2022 or later,AK,2
Alaska,White,,Jan. 2022 or later,AK,2
Arizona,Asian,205139.2445,Reached 80%,AZ,4
Arizona,Asian,,Reached 80%,AZ,4
Arizona,Black,257656.3014,Jan. 2022 or later,AZ,4
Arizona,Black,,Jan. 2022 or later,AZ,4
Arizona,Hispanic,1786001,Jan. 2022 or later,AZ,4
Arizona,Hispanic,,Jan. 2022 or later,AZ,4
Arizona,White,3455889.175,Reached 80%,AZ,4
Arizona,White,,Reached 80%,AZ,4
Arkansas,Asian,37934.09977,Reached 80%,AR,5
Arkansas,Asian,,Reached 80%,AR,5
Arkansas,Black,368314.1786,Nov. 2021,AR,5
Arkansas,Black,,Nov. 2021,AR,5
Arkansas,Hispanic,170735,Oct. 2021,AR,5
Arkansas,Hispanic,,Oct. 2021,AR,5
Arkansas,White,1834311.454,Oct. 2021,AR,5
Arkansas,White,,Oct. 2021,AR,5
California,Asian,5049988.503,Reached 80%,CA,6
California,Asian,,Reached 80%,CA,6
California,Black,1793434.898,Oct. 2021,CA,6
California,Black,,Oct. 2021,CA,6
California,Hispanic,12305448,Reached 80%,CA,6
California,Hispanic,,Reached 80%,CA,6
California,White,12614830.66,Reached 80%,CA,6
California,White,,Reached 80%,CA,6
Colorado,Asian,159974.5958,Sep. 2021,CO,8
Colorado,Asian,,Sep. 2021,CO,8
Colorado,Black,180956.0203,Dec. 2021,CO,8
Colorado,Black,,Dec. 2021,CO,8
Colorado,Hispanic,971881,Jan. 2022 or later,CO,8
Colorado,Hispanic,,Jan. 2022 or later,CO,8
Colorado,White,3376684.864,Reached 80%,CO,8
Colorado,White,,Reached 80%,CO,8
Connecticut,Asian,138405.1142,Reached 80%,CT,9
Connecticut,Asian,,Reached 80%,CT,9
Connecticut,Black,299628.7025,Nov. 2021,CT,9
Connecticut,Black,,Nov. 2021,CT,9
Connecticut,Hispanic,459667,Reached 80%,CT,9
Connecticut,Hispanic,,Reached 80%,CT,9
Connecticut,White,2038755.091,Reached 80%,CT,9
Connecticut,White,,Reached 80%,CT,9
Delaware,Asian,32122.38373,Reached 80%,DE,10
Delaware,Asian,,Reached 80%,DE,10
Delaware,Black,174051.6125,Sep. 2021,DE,10
Delaware,Black,,Sep. 2021,DE,10
Delaware,Hispanic,69781,Reached 80%,DE,10
Delaware,Hispanic,,Reached 80%,DE,10
Delaware,White,521533.5866,Reached 80%,DE,10
Delaware,White,,Reached 80%,DE,10
District of Columbia,Asian,23552.92791,Reached 80%,DC,11
District of Columbia,Asian,,Reached 80%,DC,11
District of Columbia,Black,251866.576,Reached 80%,DC,11
District of Columbia,Black,,Reached 80%,DC,11
District of Columbia,Hispanic,58251,Reached 80%,DC,11
District of Columbia,Hispanic,,Reached 80%,DC,11
District of Columbia,White,223699.6188,Reached 80%,DC,11
District of Columbia,White,,Reached 80%,DC,11
Florida,Asian,517568.5867,NR,FL,12
Florida,Asian,,NR,FL,12
Florida,Black,2639544.228,Dec. 2021,FL,12
Florida,Black,,Dec. 2021,FL,12
Florida,Hispanic,4703409,Reached 80%,FL,12
Florida,Hispanic,,Reached 80%,FL,12
Florida,White,10097843.88,Reached 80%,FL,12
Florida,White,,Reached 80%,FL,12
Georgia,Asian,365508.0867,Reached 80%,GA,13
Georgia,Asian,,Reached 80%,GA,13
Georgia,Black,2708349.444,Dec. 2021,GA,13
Georgia,Black,,Dec. 2021,GA,13
Georgia,Hispanic,777234,Oct. 2021,GA,13
Georgia,Hispanic,,Oct. 2021,GA,13
Georgia,White,4716307.108,Jan. 2022 or later,GA,13
Georgia,White,,Jan. 2022 or later,GA,13
Hawaii,Asian,478570.5142,Reached 80%,HI,15
Hawaii,Asian,,Reached 80%,HI,15
Hawaii,Black,20704.15496,Jan. 2022 or later,HI,15
